,User,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,BBC,"Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",Sat Jun 09 20:04:00 +0000 2018,0.0,0.0,1.0,0.0,1
1,BBC,"What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine… https://t.co/YauZn2kit4",Sat Jun 09 19:02:05 +0000 2018,0.3612,0.122,0.878,0.0,2
2,BBC,"The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend 😍🎁

Here's what @tanfrance,… https://t.co/c82OxTDXfI",Sat Jun 09 18:04:03 +0000 2018,0.0,0.0,1.0,0.0,3
3,BBC,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",Sat Jun 09 17:01:05 +0000 2018,0.5719,0.171,0.829,0.0,4
4,BBC,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",Sat Jun 09 16:04:03 +0000 2018,0.4019,0.222,0.623,0.156,5
5,BBC,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,Sat Jun 09 15:02:02 +0000 2018,-0.7783,0.0,0.673,0.327,6
6,BBC,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,Sat Jun 09 14:04:02 +0000 2018,0.7717,0.528,0.472,0.0,7
7,BBC,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",Sat Jun 09 13:24:03 +0000 2018,0.0,0.0,1.0,0.0,8
8,BBC,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",Sat Jun 09 13:03:06 +0000 2018,0.0,0.0,1.0,0.0,9
9,BBC,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,Sat Jun 09 12:23:25 +0000 2018,0.0,0.0,1.0,0.0,10
10,BBC,Your friend that likes gin will LOVE this. #TopOfTheShop 😍 #WorldGinDay https://t.co/0y9sqjluRF,Sat Jun 09 12:03:00 +0000 2018,0.8986,0.577,0.423,0.0,11
11,BBC,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,Sat Jun 09 11:10:52 +0000 2018,0.0,0.0,1.0,0.0,12
12,BBC,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",Sat Jun 09 11:04:08 +0000 2018,-0.8402,0.0,0.667,0.333,13
13,BBC,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",Sat Jun 09 10:10:06 +0000 2018,0.0,0.0,1.0,0.0,14
14,BBC,"RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems, but ends up making them even worse? This doctor’s explanation…",Sat Jun 09 10:09:40 +0000 2018,-0.6808,0.051,0.73,0.219,15
15,BBC,"RT @BBCBreakfast: Yep, this is real... Russian hosts are being taught how to smile to make visitors feel welcome to the World Cup. 😁
#BBCWo…",Sat Jun 09 08:55:42 +0000 2018,0.7717,0.268,0.732,0.0,16
16,BBC,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! 🙌🙌 https://t.co/WAOYvHIbx3",Sat Jun 09 08:54:21 +0000 2018,0.6239,0.194,0.806,0.0,17
17,BBC,RT @bbccomedy: Dame Emma Thompson! ❤️ #QueensBirthdayHonours https://t.co/sGDU1GC3SU,Sat Jun 09 08:53:14 +0000 2018,0.0,0.0,1.0,0.0,18
18,BBC,"RT @BBC6Music: Which riffs do you wish you had written?

🤘 @st_vincent had some brilliant suggestions when she took over our Instagram toda…",Sat Jun 09 08:52:54 +0000 2018,0.7579,0.245,0.755,0.0,19
19,BBC,RT @BBCArtsPR: Our very own @wmarybeard has received a damehood in the Queen's birthday honours list - congratulations Mary! @bbcarts @BBCF…,Sat Jun 09 08:52:46 +0000 2018,0.8122,0.303,0.697,0.0,20
20,BBC,RT @bbcarts: Women across Britain raise banners for suffrage &amp; what it means to be a C21st woman. See selection of brilliant banners prior…,Sat Jun 09 08:52:33 +0000 2018,0.5859,0.147,0.853,0.0,21
21,BBC,"RT @BBCEngland: Britain's longest-serving poppy seller, 103-year-old Rosemary Powell, has been appointed an MBE in the Queen's birthday hon…",Sat Jun 09 08:50:01 +0000 2018,0.0,0.0,1.0,0.0,22
22,BBC,"🇬🇧 @huwbbc introduces live coverage of the military parade to mark the official birthday of HM the Queen. 

Troopin… https://t.co/y1b6OpOoey",Sat Jun 09 08:32:05 +0000 2018,0.0,0.0,1.0,0.0,23
23,BBC,"The charming and beautiful films of Lotte Reiniger, forgotten pioneer of animation. https://t.co/T2N7eLjHKh",Sat Jun 09 07:28:04 +0000 2018,0.7783,0.393,0.51,0.097,24
24,BBC,"🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the B… https://t.co/l8FI1nOTWY",Fri Jun 08 20:04:03 +0000 2018,0.0,0.0,1.0,0.0,25
25,BBC,💃🕺 Why does dancing with our friends make us feel so good? https://t.co/iokI919nJp,Fri Jun 08 18:09:05 +0000 2018,0.7809,0.383,0.617,0.0,26
26,BBC,🎶🦈🚀🚗 From jazz-loving sharks to @elonmusk shooting his car into space: these are the 7 funniest news stories of the… https://t.co/TN5XaD9I0k,Fri Jun 08 17:03:04 +0000 2018,0.5574,0.159,0.841,0.0,27
27,BBC,Leaving your responsibilities behind on a Friday like... 💁👋 #FridayFeeling @taylorswift13 https://t.co/wvmpzlOSel,Fri Jun 08 16:02:00 +0000 2018,0.0,0.0,1.0,0.0,28
28,BBC,"📺 From drama Succession to the return of @PoldarkTV, here are the TV shows worth watching in June. 
👉… https://t.co/VFdghjNGmK",Fri Jun 08 13:03:05 +0000 2018,0.4019,0.179,0.821,0.0,29
29,BBC,RT @bbcouch: We can announce today that Britain's Got Talent winner @LostVoiceGuy will be hosting our Storytelling Live event at @edfringe!…,Fri Jun 08 12:28:10 +0000 2018,0.784,0.266,0.734,0.0,30
30,BBC,"RT @BBCEarth: We all have a part to play in protecting #OurBluePlanet.
#WorldOceansDay 💙 https://t.co/1TM73iYPmA",Fri Jun 08 12:24:37 +0000 2018,0.34,0.167,0.833,0.0,31
31,BBC,"💔 US celebrity chef and television personality Anthony Bourdain has been found dead in his hotel room, aged 61.
👉… https://t.co/55jBxSrdUS",Fri Jun 08 12:19:25 +0000 2018,-0.6486,0.0,0.815,0.185,32
32,BBC,The unexpected pioneering women of electronic music. https://t.co/ih6gK1Sz0y,Fri Jun 08 12:04:03 +0000 2018,0.0,0.0,1.0,0.0,33
33,BBC,"Forget hygge, a new Nordic lifestyle trend called 'päntsdrunk' is all about drinking in your underwear. 👙🍻… https://t.co/SBTQBZ5E5e",Fri Jun 08 11:03:04 +0000 2018,-0.2263,0.0,0.894,0.106,34
34,BBC,"RT @UKMoments: All-day Friday @BBC6Music will be playing an all-female playlist, spun by an all-woman DJ line up as part of the BBC's #Hear…",Fri Jun 08 10:52:51 +0000 2018,0.2023,0.073,0.927,0.0,35
35,BBC,"Pippa Middleton has confirmed she is expecting her first child with husband James Matthews. 
https://t.co/4SiziX5Tix https://t.co/bFobAI2hBp",Fri Jun 08 10:50:03 +0000 2018,0.0,0.0,1.0,0.0,36
36,BBC,"'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",Fri Jun 08 09:01:04 +0000 2018,-0.3089,0.0,0.83,0.17,37
37,BBC,"RT @BBC6Music: This Friday, @St_Vincent takes over our Instagram (https://t.co/ui96YFYsuH) and offers some advice to improve your day. Here…",Fri Jun 08 08:46:14 +0000 2018,0.4404,0.139,0.861,0.0,38
38,BBC,"These ducklings jumping from their nest are absolutely adorable. 🦆🐣❤️️
https://t.co/NlQijnt3hm",Fri Jun 08 08:01:07 +0000 2018,0.5413,0.259,0.741,0.0,39
39,BBC,"🏙 We often think of cities as the least healthy places to live. But what does the research say?
👉… https://t.co/gm4wRIFCQG",Fri Jun 08 07:29:05 +0000 2018,-0.3089,0.0,0.894,0.106,40
40,BBC,"🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",Fri Jun 08 07:00:18 +0000 2018,0.0,0.0,1.0,0.0,41
41,BBC,"#OurGirl's Michelle Keegan discovers her great-great-grandmother was a suffragette, fighting for women to get the v… https://t.co/sNDxrleuGi",Thu Jun 07 19:04:09 +0000 2018,-0.3612,0.0,0.857,0.143,42
42,BBC,❤️️ Harry has been wearing a Spider-Man mask during his radiotherapy to give him 'superpowers'. https://t.co/rsyOrCzD7k,Thu Jun 07 18:00:21 +0000 2018,0.0,0.0,1.0,0.0,43
43,BBC,Turns out even Shakespearean acting legends love a good chinwag. https://t.co/0DO0vG4uZg,Thu Jun 07 16:02:03 +0000 2018,0.7964,0.47,0.53,0.0,44
44,BBC,"RT @BBC6Music: 💪 Who do you hope to hear during our all-female #HearHer day from 5am-midnight on Friday?

Backstage in Belfast we asked @fi…",Thu Jun 07 15:36:48 +0000 2018,0.4404,0.116,0.884,0.0,45
45,BBC,This elderly man was struggling slowly across a busy road - but help was at hand! https://t.co/xfCtAOkL6F,Thu Jun 07 15:32:24 +0000 2018,0.8043,0.369,0.544,0.086,46
46,BBC,"🐍 A Texan required 26 doses of anti-venom after he was bitten by the severed head of a rattlesnake he had killed.
👉… https://t.co/zdD1aO7POz",Thu Jun 07 14:04:02 +0000 2018,-0.7906,0.0,0.731,0.269,47
47,BBC,RT @BBC_ARoadshow: 'We did it for all women' - 50 years after they walked out the Dagenham women say the fight for equal pay must go on #An…,Thu Jun 07 13:00:43 +0000 2018,-0.4588,0.0,0.862,0.138,48
48,BBC,"🎞🎬 From the Jurassic World sequel to an Oscar Wilde biopic, these films are worth making a trip to the cinema for t… https://t.co/PODFpM3UOq",Thu Jun 07 13:00:26 +0000 2018,0.2263,0.079,0.921,0.0,49
49,BBC,"👊💕 If you've ever been touched by cancer, Julie's message will be important. 
https://t.co/L7Ebn2c0Ed",Thu Jun 07 12:01:05 +0000 2018,-0.5574,0.099,0.659,0.242,50
50,BBC,"RT @BBCEarth: Are you obsessed with the ocean? 🌊
Do you go wild for whales? 🐋
Want to share your passion for presenting with the world?
Ent…",Thu Jun 07 11:46:22 +0000 2018,0.6531,0.237,0.706,0.057,51
51,BBC,💕🐮 Cow cuddling is the new wellness trend coming to a field near you and it's guaranteed to put you in a good moooo… https://t.co/8DJNABgCFc,Thu Jun 07 11:01:05 +0000 2018,0.7003,0.216,0.784,0.0,52
52,BBC,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,Thu Jun 07 09:37:40 +0000 2018,0.0,0.0,1.0,0.0,53
53,BBC,What it's like to find out you were adopted at age 49. https://t.co/Fl1LZJOMKZ,Thu Jun 07 08:01:03 +0000 2018,0.3612,0.172,0.828,0.0,54
54,BBC,"The original illustrated map of The Hundred Acre Wood is expected to fetch between £100,000 - £150,000 when it goes… https://t.co/FVle3m5MCh",Thu Jun 07 07:28:01 +0000 2018,0.3182,0.108,0.892,0.0,55
55,BBC,❤️🐶 Some heroes don't wear capes - they wear collars. https://t.co/0YF9EdnfL1,Thu Jun 07 07:01:05 +0000 2018,0.5106,0.268,0.732,0.0,56
56,BBC,"Tonight, award-winning writer Jeanette Winterson asks what we can learn from the Suffragette movement of a century… https://t.co/K9P2GuRy7X",Wed Jun 06 20:44:01 +0000 2018,0.0,0.0,1.0,0.0,57
57,BBC,Comedian @JordBrookes joins @SusanCalman for #MrsBrightside - her brand new podcast about mental health from the po… https://t.co/nIvQ5c2NNT,Wed Jun 06 20:04:00 +0000 2018,0.3818,0.14,0.86,0.0,58
58,BBC,"Tonight, #OurGirl actress @michkeegan uncovers some exceptional women on her family tree. 🙋💕

Who Do You Think You… https://t.co/HDwdTyTqIw",Wed Jun 06 19:03:03 +0000 2018,0.0,0.0,1.0,0.0,59
59,BBC,No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M,Wed Jun 06 18:03:04 +0000 2018,0.1779,0.16,0.718,0.122,60
60,BBC,"74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4",Wed Jun 06 17:02:09 +0000 2018,0.0,0.0,1.0,0.0,61
61,BBC,"There are more than 110,000 gang members in Honduras and they're tearing the country apart. https://t.co/ZF9M0iAvzb",Wed Jun 06 16:00:01 +0000 2018,0.0,0.0,1.0,0.0,62
62,BBC,From a French novel about the Burundi genocide to a Chilean mystery: add these titles to your book shelf this month… https://t.co/T9AG8kvoPG,Wed Jun 06 13:02:05 +0000 2018,0.3182,0.108,0.892,0.0,63
63,BBC,"RT @BBC_ARoadshow: Fiona discovers more about suffragette Emily Wilding Davison, who died after throwing herself in front of the King's hor…",Wed Jun 06 12:21:20 +0000 2018,-0.5574,0.0,0.847,0.153,64
64,BBC,"Ethan Hawke relives the time when one of his co-stars DIED on stage. #TheGNShow

https://t.co/XIG2Y8OA7m",Wed Jun 06 12:03:06 +0000 2018,-0.6523,0.0,0.764,0.236,65
65,BBC,"In 1993, Steven Spielberg's film Jurassic Park defined dinosaurs for an entire generation... but does it make scien… https://t.co/wLK4pyl9pv",Wed Jun 06 11:02:02 +0000 2018,0.0,0.0,1.0,0.0,66
66,BBC,"RT @BBCSpringwatch: Ever heard a beatboxing starling? 🔊 🔊

#Springwatch https://t.co/NC52eJ4MX0",Wed Jun 06 10:01:40 +0000 2018,0.0,0.0,1.0,0.0,67
67,BBC,RT @bbcthree: Madame Poole has been ballet dancing for an astounding seven decades. #HearHer https://t.co/X6ltLoANl7,Wed Jun 06 08:55:39 +0000 2018,0.4215,0.167,0.833,0.0,68
68,BBC,"RT @BBCFOUR: Here's a sneak preview of our brand new drama #Hidden. Starts Saturday, 9pm, @BBCFour. https://t.co/cibPD1hzr3 https://t.co/te…",Wed Jun 06 08:55:07 +0000 2018,0.0,0.0,1.0,0.0,69
69,BBC,"When Mona began to lose her sight, her 84-year-old husband did something amazing for her... 💅💄❤️️

https://t.co/Qle1eoBU5x",Wed Jun 06 08:02:01 +0000 2018,0.2732,0.177,0.698,0.126,70
70,BBC,"We're all familiar with that sinking, nagging feeling we get when we realise we have made the wrong choice. 😟

But… https://t.co/NPYZY5U43f",Wed Jun 06 07:31:01 +0000 2018,-0.6486,0.059,0.711,0.229,71
71,BBC,"📻🐫🦅🐼🦈 @GregJames has got a new co-host!

Sir David Attenborough becomes a @BBCR1 DJ at 5pm today... 

https://t.co/zHHtjBZZ9v",Wed Jun 06 07:04:04 +0000 2018,0.0,0.0,1.0,0.0,72
72,BBC,"'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",Tue Jun 05 19:25:03 +0000 2018,-0.4019,0.0,0.863,0.137,73
73,BBC,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",Tue Jun 05 19:02:05 +0000 2018,-0.7184,0.0,0.727,0.273,74
74,BBC,"👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",Tue Jun 05 18:02:06 +0000 2018,0.0,0.0,1.0,0.0,75
75,BBC,RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,Tue Jun 05 16:50:46 +0000 2018,0.8221,0.281,0.719,0.0,76
76,BBC,"💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",Tue Jun 05 16:31:52 +0000 2018,-0.6486,0.0,0.777,0.223,77
77,BBC,♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,Tue Jun 05 16:00:22 +0000 2018,-0.1531,0.076,0.814,0.11,78
78,BBC,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",Tue Jun 05 13:01:07 +0000 2018,0.6369,0.16,0.84,0.0,79
79,BBC,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",Tue Jun 05 12:00:22 +0000 2018,0.6696,0.36,0.64,0.0,80
80,BBC,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",Tue Jun 05 11:12:05 +0000 2018,0.4019,0.137,0.863,0.0,81
81,BBC,"How does plastic actually enter our oceans? 
#WorldEnvironmentDay https://t.co/LdOt9inVFS",Tue Jun 05 11:00:07 +0000 2018,0.0,0.0,1.0,0.0,82
82,BBC,RT @BBCBreakfast: Have you got yours yet? #gingeremoji https://t.co/hKwIsLspYC,Tue Jun 05 10:45:52 +0000 2018,0.0,0.0,1.0,0.0,83
83,BBC,RT @bbcthree: 17-year-old Dillon upcycles clothes to help young homeless people feel confident going to school or for job interviews. https…,Tue Jun 05 10:34:07 +0000 2018,0.7096,0.237,0.763,0.0,84
84,BBC,"RT @BBCNews: ""I was disabled before it was popular.""

@LostVoiceGuy - aka Lee Ridley - is the first comedian to win Britain's Got Talent.…",Tue Jun 05 10:31:20 +0000 2018,0.7506,0.242,0.758,0.0,85
85,BBC,"🎨🙌 Middle-earth in colour: How Tolkien drew his fantasy universe.
👉 https://t.co/z754byqVpR https://t.co/Jr6PnQWvIU",Tue Jun 05 10:21:33 +0000 2018,0.0,0.0,1.0,0.0,86
86,BBC,"It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",Tue Jun 05 09:34:23 +0000 2018,0.0,0.0,1.0,0.0,87
87,BBC,Some of Arthur C Clarke's predictions about the future were bang on... https://t.co/6M7UJv6Mmh,Tue Jun 05 08:01:03 +0000 2018,0.0,0.0,1.0,0.0,88
88,BBC,"📎 The psychology of stealing office supplies. 
👉 https://t.co/vfXaRVYcwU https://t.co/zoPWJRXVtO",Tue Jun 05 07:29:04 +0000 2018,-0.5719,0.0,0.654,0.346,89
89,BBC,💤 Ever wondered what your brain is up to while you're dreaming? https://t.co/2JHc0lFKbS,Tue Jun 05 07:00:11 +0000 2018,0.0,0.0,1.0,0.0,90
90,BBC,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",Mon Jun 04 19:03:02 +0000 2018,-0.5707,0.0,0.822,0.178,91
91,BBC,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",Mon Jun 04 18:31:05 +0000 2018,-0.4767,0.0,0.829,0.171,92
92,BBC,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,Mon Jun 04 18:02:05 +0000 2018,-0.5859,0.0,0.769,0.231,93
93,BBC,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",Mon Jun 04 17:01:13 +0000 2018,0.0,0.0,1.0,0.0,94
94,BBC,"🤷‍♀️😂 When @CubaGoodingJr took over @BBCBreakfast.
 https://t.co/XSPs0MOKoN",Mon Jun 04 16:01:04 +0000 2018,0.0,0.0,1.0,0.0,95
95,BBC,"🧔 Bearded men have been taking pictures of themselves from below and it's freaking people out...
👉… https://t.co/FQ9t0swX2t",Mon Jun 04 13:03:05 +0000 2018,-0.4215,0.0,0.851,0.149,96
96,BBC,RT @bbcdoctorwho: Every episode of #DoctorWho since 2005 is now available to watch on @BBCiPlayer… Enjoy! https://t.co/uNWq307bei https://t…,Mon Jun 04 12:34:04 +0000 2018,0.5411,0.17,0.83,0.0,97
97,BBC,"❤️ Ethan Hawke will be forever grateful to Robin Williams for helping launch his career.
#TheGNShow https://t.co/uYMvKQvuev",Mon Jun 04 12:01:05 +0000 2018,0.6369,0.257,0.743,0.0,98
98,BBC,"Would you describe yourself as a feminist?

#HearHer https://t.co/4UZzAu2IRO",Mon Jun 04 11:05:00 +0000 2018,0.0,0.0,1.0,0.0,99
99,BBC,"RT @BBCSpringwatch: Surely this is the only way to react to chicks fledging?! 😂 We sure are excited here at #Springwatch HQ! 

Thanks for c…",Mon Jun 04 10:18:03 +0000 2018,0.8774,0.357,0.643,0.0,100
100,CBS,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,Sat Jun 09 21:00:02 +0000 2018,0.5093,0.155,0.845,0.0,1
101,CBS,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,Sat Jun 09 16:00:00 +0000 2018,0.0,0.0,1.0,0.0,2
102,CBS,Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY,Fri Jun 08 19:46:17 +0000 2018,0.296,0.18,0.82,0.0,3
103,CBS,Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ,Fri Jun 08 15:00:03 +0000 2018,0.0,0.0,1.0,0.0,4
104,CBS,"We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT",Fri Jun 08 13:58:15 +0000 2018,0.9078,0.436,0.564,0.0,5
105,CBS,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",Thu Jun 07 17:03:26 +0000 2018,0.3612,0.128,0.872,0.0,6
106,CBS,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,Wed Jun 06 21:00:24 +0000 2018,0.2732,0.176,0.719,0.105,7
107,CBS,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",Wed Jun 06 00:08:30 +0000 2018,0.3595,0.128,0.872,0.0,8
108,CBS,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",Tue Jun 05 22:23:35 +0000 2018,-0.4404,0.1,0.723,0.177,9
109,CBS,RT @StrangeAngel: About last night... The #StrangeAngel screening party was a blast! Pun intended. 🚀😏 https://t.co/m64EcNmweY,Tue Jun 05 22:12:28 +0000 2018,0.4574,0.176,0.824,0.0,10
110,CBS,These CBS stars can really belt it out! Find out which celebs from your favorite shows are pitch-perfect:… https://t.co/X4zMACFazB,Tue Jun 05 19:00:02 +0000 2018,0.5093,0.155,0.845,0.0,11
111,CBS,"More stars are set to appear at the #TonyAwards, including @billyjoel, @amyschumer, and @katharinemcphee. See who e… https://t.co/lPUocBcn9t",Tue Jun 05 15:04:41 +0000 2018,0.0,0.0,1.0,0.0,12
112,CBS,"The #TonyAwards are just days away, and @joshgroban and @SaraBareilles will bring all they've got to Broadway's Big… https://t.co/eKkWn6ClSq",Mon Jun 04 17:00:00 +0000 2018,0.0,0.0,1.0,0.0,13
113,CBS,"Call us old-fashioned, but we donut want you missing out on #NationalDonutDay! Here are a few treats from us to you… https://t.co/HpzN8bQ3SO",Fri Jun 01 17:39:17 +0000 2018,-0.3903,0.062,0.807,0.131,14
114,CBS,Remember @Lin_Manuel’s beautiful sonnet from the 70th Annual Tony Awards®? Relive some of the greatest moments in… https://t.co/IZjeQLd58C,Fri Jun 01 17:00:03 +0000 2018,0.8442,0.336,0.664,0.0,15
115,CBS,"Good friends @joshgroban and @SaraBareilles are hosting the #TonyAwards together? Well, this is bound to be fun! https://t.co/26Vgzp0s2e",Thu May 31 23:50:00 +0000 2018,0.8932,0.455,0.545,0.0,16
116,CBS,"The #TonyAwards just got even better because @UzoAduba, @MattBomer, and more stars will be presenting live! Find ou… https://t.co/hfFBtWo1T9",Wed May 30 15:07:34 +0000 2018,0.4926,0.151,0.849,0.0,17
117,CBS,"Mark your calendars. @SalvationCBS returns Monday, June 25 at 9/8c! ☄️ https://t.co/N9pYuhYLRF",Mon May 28 21:00:01 +0000 2018,0.0,0.0,1.0,0.0,18
118,CBS,RT @thegoodfight: All episodes of season 2 are now available. Stream #TheGoodFight on CBS All Access: https://t.co/k3tn8kR9KC https://t.co/…,Mon May 28 02:08:19 +0000 2018,0.0,0.0,1.0,0.0,19
119,CBS,Get the popcorn ready! 🍿  It's going to be an unforgettable @survivorcbs finale. Make sure to tune in TONIGHT at 8/… https://t.co/vp0JyqfXMQ,Wed May 23 23:07:38 +0000 2018,0.6239,0.211,0.789,0.0,20
120,CBS,"RT @StrangeAngel: Every brilliant mind has a dark side. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/y0MZg1BzEB htt…",Wed May 23 19:02:43 +0000 2018,0.5859,0.174,0.826,0.0,21
121,CBS,Prepare yourself. The @NCIS_CBS season finale is unlike any other. Don't miss it TONIGHT at 8/7c. https://t.co/MOH6uiFc0C,Tue May 22 23:19:40 +0000 2018,0.1139,0.083,0.917,0.0,22
122,CBS,"Summer heats up with @CBSBigBrother, @SalvationCBS, and the brand-new competition series @TKOCBS. Find out when you… https://t.co/DxE7OnKs17",Tue May 22 20:02:22 +0000 2018,0.0,0.0,1.0,0.0,23
123,CBS,Who’s going to be watching the season finale of @ManWithAPlan tonight? RT if you'll be tuning in at 8:30/7:30c! https://t.co/ARLRtVuGuc,Mon May 21 23:00:01 +0000 2018,0.0,0.0,1.0,0.0,24
124,CBS,The season finale of @MadamSecretary will leave you speechless! Make sure to tune in tonight at 10/9c. https://t.co/hqxkLZsWpl,Sun May 20 20:00:00 +0000 2018,0.3382,0.131,0.808,0.061,25
125,CBS,The @NCISLA season finale is going to be a wild ride. Don't miss all of the action starting TONIGHT at 8/7c! https://t.co/PNtUuVf9VQ,Sun May 20 17:00:01 +0000 2018,0.1867,0.08,0.92,0.0,26
126,CBS,Retweet if you're ready for the #RoyalWedding! https://t.co/k57NM7OrXn,Sat May 19 08:00:01 +0000 2018,0.4199,0.285,0.715,0.0,27
127,CBS,It's going down (literally) on the Season Finale of @HawaiiFive0CBS when a submarine appears off the coast of Waiki… https://t.co/oD7Le5XUz6,Fri May 18 21:00:01 +0000 2018,0.0,0.0,1.0,0.0,28
